seed,hit,time_to_intercept,initial_sep,closing_vel_avg,min_sep,final_zem,target_speed
89250,1,8.40,115.16,18.52,1.06,0.38,5.24
773956,1,18.95,183.24,19.64,1.35,0.29,11.01
654571,0,30.00,90.06,14.28,51.42,120.19,9.84
438878,0,30.00,98.94,14.34,45.09,45.64,7.91
433015,0,30.00,148.53,19.60,40.63,14.30,7.44
858597,0,30.00,154.81,13.73,52.97,33.26,10.13
85945,1,6.95,88.80,15.33,1.11,0.37,5.59
697368,1,18.25,154.51,18.93,1.48,0.52,10.82
201469,0,30.00,126.11,13.52,121.65,82.51,8.94
94177,0,30.00,162.39,14.21,81.34,37.48,11.13
526478,0,30.00,109.48,15.61,94.02,7.29,6.77
975622,1,26.85,160.65,18.32,1.11,0.36,6.71
735752,1,15.55,121.84,16.01,1.26,0.58,11.61
761139,0,30.00,107.36,13.05,70.79,1.93,10.77
717477,1,8.30,139.14,16.55,0.41,0.02,9.52
786064,1,22.50,83.23,19.51,0.46,0.37,8.30
513226,1,27.65,97.83,13.74,0.94,0.41,9.16
128113,0,30.00,164.95,17.32,160.61,10.27,7.51
839748,1,10.55,147.55,15.67,0.26,0.05,10.04
450385,0,30.00,178.39,19.34,22.35,14.71,7.70
500351,1,6.95,83.82,13.15,1.42,0.29,8.22
370798,1,22.65,126.38,16.75,1.37,0.20,11.90
182549,0,30.00,196.73,20.21,192.43,17.56,6.66
926764,1,9.95,82.14,11.25,1.44,0.44,11.26
781567,0,30.00,99.78,10.68,13.09,0.17,9.80
643865,1,5.25,51.75,11.92,1.27,0.46,7.14
402414,0,30.00,104.72,12.73,81.36,0.27,9.57
822761,1,8.40,74.89,9.85,0.97,0.57,9.39
545429,1,9.10,169.84,20.44,1.01,0.05,7.89
443414,1,3.95,50.37,14.10,1.16,0.05,6.25
450459,1,12.00,149.34,15.09,0.68,0.34,8.56
227238,1,27.30,81.86,18.01,1.27,0.22,5.95
92135,1,17.20,78.52,15.25,1.15,0.22,6.66
554584,1,8.95,75.44,13.07,0.75,0.08,6.10
887889,1,9.95,91.18,12.17,0.88,0.07,11.92
63817,0,30.00,134.75,15.09,104.23,376.13,9.19
858291,0,30.00,93.32,15.85,20.81,17.02,9.65
827631,0,30.00,69.73,13.45,64.52,1.11,8.42
276759,1,8.70,74.58,11.65,0.70,0.06,8.32
631664,1,15.85,148.85,12.75,1.18,0.66,6.99
165229,1,5.10,61.42,12.73,1.26,0.18,10.94
758087,0,30.00,188.05,19.74,183.93,10.73,5.57
700522,1,23.45,144.07,14.71,1.29,0.41,11.54
354525,0,30.00,174.67,12.34,170.20,1010.14,8.40
67920,1,8.25,116.47,18.22,1.45,0.78,5.39
970698,0,30.00,142.58,15.20,24.70,131.42,9.44
445687,0,30.00,73.39,12.05,68.14,90.03,11.37
893121,1,17.80,115.05,15.40,0.25,0.30,9.67
677919,0,30.00,125.33,19.57,20.49,14.92,7.05
778383,1,9.40,135.53,16.12,1.10,0.25,7.81
759899,1,16.65,171.49,15.85,0.92,0.29,6.24
194638,1,23.50,104.60,13.49,0.24,0.10,8.73
363906,1,10.25,159.15,17.43,1.30,0.33,7.93
466721,1,7.20,55.72,8.89,1.23,0.46,9.61
497791,0,30.00,108.96,17.75,35.77,1.28,6.81
43803,1,6.00,96.71,17.58,0.13,0.03,10.69
546569,1,9.80,104.49,13.49,1.10,0.62,9.77
154289,1,15.50,117.95,10.67,1.00,0.66,11.22
743375,1,22.40,90.99,16.45,1.19,0.36,8.84
683048,1,4.40,57.20,12.60,0.51,0.12,9.51
922527,1,20.20,95.16,17.43,1.30,0.30,6.72
744762,1,25.65,130.07,12.71,0.36,0.32,8.23
366642,1,12.40,79.91,14.77,1.07,0.57,11.34
967509,1,10.40,163.65,20.99,1.29,1.13,5.03
410850,1,5.95,93.41,16.05,0.48,0.16,10.95
325825,1,10.65,122.26,13.22,0.97,0.58,9.32
905535,1,8.40,105.52,13.59,1.36,0.56,8.86
370459,1,8.00,107.82,16.24,1.48,0.42,7.09
76343,1,21.10,86.81,10.26,0.79,0.49,11.98
469555,1,6.80,83.50,15.23,1.24,0.43,6.50
795679,1,17.45,55.70,14.48,1.15,0.46,9.83
189471,1,8.00,140.54,19.63,0.20,0.01,7.89
462940,1,27.55,88.43,16.89,1.13,0.34,5.70
129921,0,30.00,137.69,13.44,132.74,160.89,11.03
686478,0,30.00,83.24,18.59,41.63,9.68,8.27
475704,1,5.55,84.48,16.29,0.50,0.11,9.50
330196,1,6.55,107.91,17.47,1.22,0.06,5.22
226909,0,30.00,164.79,18.41,41.06,19.13,6.04
564499,0,30.00,95.56,17.59,39.97,20.89,5.83
669813,1,20.00,113.24,19.02,0.43,0.03,9.80
940306,0,30.00,61.68,17.35,56.57,1.99,5.50
437151,0,30.00,79.75,14.07,56.04,106.12,9.22
160688,0,30.00,129.59,19.26,125.28,77.87,6.77
832678,1,8.60,152.70,20.51,1.14,0.03,5.82
629764,1,12.55,77.34,21.12,0.08,0.02,8.85
700265,1,15.05,71.62,13.16,1.07,0.50,8.23
97226,1,20.85,118.21,12.94,1.09,0.42,9.44
312366,1,27.25,124.32,18.25,1.38,0.32,6.93
767843,0,30.00,171.06,17.23,31.06,126.39,8.08
832259,1,4.75,50.25,13.62,1.47,0.44,5.47
435216,1,20.75,69.40,10.84,0.51,0.29,8.96
804764,0,30.00,127.63,16.77,22.39,46.06,10.77
841691,1,14.50,111.43,15.46,1.05,0.27,6.53
387478,1,28.70,72.08,13.47,0.71,0.40,10.73
898087,1,15.30,136.24,19.60,1.36,0.48,8.07
288328,1,21.20,117.20,18.67,1.31,0.34,5.11
239557,1,9.45,139.20,19.68,1.09,0.50,5.34
682495,1,20.30,193.31,20.44,1.44,0.94,10.85
636761,1,8.95,130.75,17.29,1.31,0.41,7.46
139752,1,9.55,96.55,13.19,0.41,0.03,6.44
832736,0,30.00,170.76,18.22,88.52,67.74,6.66
199908,0,30.00,130.40,19.13,126.08,10.01,6.78
804899,1,20.40,90.76,14.06,1.24,0.16,10.76
7362,1,15.30,146.48,18.16,1.14,0.38,6.77
796842,1,6.80,79.63,14.79,1.14,0.30,5.81
786924,0,30.00,164.90,18.19,39.96,5.23,9.98
780364,1,9.00,85.21,11.24,0.89,0.37,11.55
664850,1,13.45,73.55,13.15,0.27,0.32,9.45
471567,1,22.95,129.49,12.77,1.15,0.44,11.62
705165,1,26.40,130.86,14.02,1.11,0.66,11.78
277121,1,29.35,130.23,12.92,1.46,0.81,10.00
780729,1,28.85,66.88,15.83,0.82,0.34,7.53
