trial,result,time_to_hit,min_sep,launch_err,vision_count,acoustic_count,elapsed
1,HIT,2.8,2.7,6.5,12,5,106
2,MISS-TIMEOUT,-1,3.7,15.7,24,270,107
3,HIT,3.0,2.6,18.7,15,8,106
